,Model,Dataset,Rhythm,Optimizer,Start LR,Final LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
186,CNN,Necker cube,gamma,SGD,0.001,0.0001,28,0.9262096774193548,0.7838709677419354,0.8096774193548387,135.5,2.23,0.8371731008717309
65,Small,Necker cube,gamma,SGD,1e-05,1e-05,47,0.9491935483870968,0.8516129032258064,0.8096774193548387,218.03,2.22,0.917274506315602
30,Big,Mona Lisa,delta,SGD,0.01,0.001,51,0.9197580645161292,0.8419354838709677,0.8032258064516129,227.53,2.09,0.8923234299946629
129,Big,Mona Lisa,theta,Adam,0.01,0.0001,47,0.9225806451612903,0.7967741935483871,0.8032258064516129,222.53,2.45,0.9121597580501688
125,Big,Mona Lisa,theta,Adagrad,0.01,0.01,26,0.9056451612903226,0.8193548387096774,0.8,120.59,2.11,0.9048656822629426
172,Big,Necker cube,delta,Adagrad,0.01,0.001,40,0.9096774193548388,0.8516129032258064,0.8,189.72,2.15,0.9028642590286424
132,CNN,Mona Lisa,alpha,NAdam,0.001,0.0001,37,0.9149193548387096,0.8129032258064516,0.8,172.76,2.19,0.8258317025440314
94,Big,Necker cube,theta,SGD,0.01,0.001,51,0.9338709677419356,0.8516129032258064,0.8,237.64,2.19,0.8994840775662692
36,Big,Necker cube,delta,NAdam,0.01,0.001,37,0.8616935483870968,0.8161290322580645,0.7967741935483871,177.23,2.15,0.8668386408112435
1,Big,Mona Lisa,theta,NAdam,0.01,0.001,27,0.8673387096774193,0.7548387096774194,0.7967741935483871,150.8,2.49,0.8253424657534247
50,Small,Necker cube,delta,Adagrad,1e-05,1e-05,47,0.9330645161290324,0.8193548387096774,0.7967741935483871,221.64,2.22,0.9079345312222024
84,CNN,Mona Lisa,alpha,Adagrad,0.001,0.001,21,0.9169354838709678,0.7967741935483871,0.7967741935483871,98.57,2.17,0.8227628535847713
78,CNN,Necker cube,delta,Adagrad,0.001,0.0001,69,0.933467741935484,0.8290322580645161,0.7967741935483871,332.76,2.22,0.8243639921722113
154,Big,Mona Lisa,alpha,Adamax,0.01,0.001,32,0.9161290322580644,0.8258064516129032,0.7935483870967742,143.64,2.05,0.8962818003913895
134,Big,Necker cube,alpha,SGD,0.01,0.001,41,0.9435483870967742,0.8096774193548387,0.7935483870967742,189.56,2.18,0.9197206902686356
102,CNN,Mona Lisa,theta,Adam,0.001,0.0001,58,0.8814516129032258,0.8,0.7935483870967742,280.63,2.25,0.8200498132004981
83,CNN,Necker cube,delta,Adamax,0.001,0.001,29,0.8717741935483871,0.8032258064516129,0.7935483870967742,140.95,2.21,0.8200498132004981
89,Big,Necker cube,delta,Adam,0.01,0.0001,57,0.8991935483870968,0.8354838709677419,0.7935483870967742,273.16,2.22,0.8864525885073831
44,CNN,Necker cube,delta,SGD,0.001,0.001,27,0.8326612903225806,0.8032258064516129,0.7903225806451613,130.2,2.28,0.8168030599537448
72,Big,Mona Lisa,alpha,RMSprop,0.01,0.001,39,0.9306451612903226,0.8516129032258064,0.7903225806451613,174.71,2.11,0.8786692759295498
139,Small,Mona Lisa,delta,SGD,1e-05,1.0000000000000002e-06,78,0.9495967741935484,0.867741935483871,0.7903225806451613,348.71,2.12,0.913360611990749
40,Big,Mona Lisa,alpha,NAdam,0.01,0.01,31,0.905241935483871,0.8,0.7903225806451613,140.53,2.04,0.8727094822985234
208,CNN,Necker cube,alpha,Adam,0.001,0.0001,19,0.9358870967741936,0.7870967741935484,0.7870967741935484,93.1,2.25,0.8139121152819783
130,CNN,Necker cube,theta,NAdam,0.001,0.0001,59,0.9004032258064516,0.7870967741935484,0.7870967741935484,291.69,2.3,0.813734210994485
145,CNN,Necker cube,alpha,RMSprop,0.001,0.0001,33,0.9306451612903226,0.8193548387096774,0.7806451612903226,160.98,2.25,0.8068848959259918
2,CNN,Mona Lisa,theta,Adamax,0.001,0.0001,28,0.9225806451612903,0.7935483870967742,0.7806451612903226,136.83,2.3,0.8063511830635117
164,Big,Necker cube,gamma,SGD,0.01,0.001,27,0.9516129032258064,0.832258064516129,0.7774193548387097,124.89,2.17,0.9385118306351182
155,CNN,Necker cube,alpha,Adamax,0.001,0.001,34,0.8754032258064516,0.7774193548387097,0.7741935483870968,165.93,2.27,0.8003913894324852
199,CNN,Mona Lisa,delta,Adam,0.001,0.001,19,0.8004032258064516,0.7580645161290323,0.7709677419354839,90.24,2.23,0.7957214018857856
