0.000000   327086.679744   186520.250244   232180.232401   337288.094103   484612.877703   413972.176182   510273.827310   177790.246770   633692.157728   433739.296289   157018.380197   160498.441600   291983.939293   119733.169715   410547.397242   279427.419991   675512.442473   726056.426420   517754.633118   257299.612109   310259.403951   201963.951850   218285.312230   321629.953537   281655.108448   349201.100974   154093.560463   215999.178386   324825.902289   520034.590338   271469.786810   169614.834488   5417776.857093   908594.118844   
0.100000   208599.468536   249919.397164   257814.448886   228364.629369   235888.383375   225734.606450   284337.720998   242546.824086   565465.958673   451563.673931   218982.802846   159765.796492   204482.120103   183392.041889   358582.709022   237811.333324   260623.990099   361631.138328   243158.605721   273718.937560   464390.191317   180744.887755   174627.640711   285000.159730   270037.539295   301783.671985   178806.906128   254193.690430   281798.789378   241999.308143   177039.350957   231118.002957   7581481.577909   1011209.421050   
0.200000   127205.850620   160203.292659   152195.977722   161233.501377   142891.833774   174559.422798   231262.872707   199318.914353   416769.065893   450313.040114   89765.656196   113265.903454   105882.257561   113328.397323   234764.319153   233223.708721   133022.670161   233363.378762   153117.804274   215510.955898   431451.829499   139642.498121   178405.778533   192123.934945   178241.667436   174241.315699   123037.222164   149942.862430   204763.293931   135521.658353   99569.746164   176420.477613   2489098.721371   920682.357922   
0.300000   108270.141995   107479.897291   139372.385752   116151.430343   131564.473545   110620.435751   155499.955447   175408.767097   241614.869848   406027.824890   87017.225016   71105.708970   80675.443007   82158.301386   131194.015498   234359.806250   119856.412129   171822.478333   159866.175514   125004.820209   388524.395859   116987.932335   96153.670654   114357.449810   136884.114555   93082.081082   83141.039393   116016.303696   149326.106707   130982.811445   77165.024325   173160.174708   1567915.922892   632407.060576   
0.400000   88416.653464   91982.876728   89707.240239   97790.152228   109238.897796   97248.992266   157990.551617   148536.285317   237450.754277   340030.908985   63939.714005   63645.609417   64004.277461   63400.947377   135086.835433   189190.698266   84995.573359   149096.988417   126248.036897   121211.873837   325200.240753   92650.972972   91294.042194   117312.245117   127547.347160   84755.229887   66510.798051   101535.836665   125675.334614   106548.979632   73250.646729   116804.816948   1155729.948554   554486.819718   
0.500000   60205.982004   111247.385850   82464.420100   122569.421897   92058.020357   76437.459407   142528.321826   140399.475493   214819.144264   370049.941714   46499.144272   82934.734094   56330.404891   65155.827362   124435.455714   225553.763520   77342.013055   175510.997545   111074.448757   95041.126730   343990.215088   93018.664867   72235.106527   81189.371179   107832.601981   79080.097321   72872.315613   94888.359517   133188.638174   88230.056027   54129.250360   147424.117159   911857.947446   535703.637140   
0.600000   67626.481456   71805.494760   86974.367381   68380.957045   115617.818060   87463.916743   168585.177214   166384.843364   278465.991580   398423.984093   53998.721341   50785.859253   69524.325294   79468.895381   115768.641628   217315.891614   80781.385039   89799.284476   141937.896590   129415.423652   383574.279892   108385.422749   106556.894641   99037.255847   132095.157061   88678.476401   44444.966373   74867.011277   84277.604582   103233.091186   60646.520480   118414.941032   751318.199499   679951.002801   
0.700000   45431.543895   59249.494636   61978.322220   72981.035924   80041.558270   71570.482874   139261.882722   124447.959020   235213.712869   289999.330719   35672.008065   40048.970142   58434.381105   56684.638514   106375.148078   148444.546666   48860.178969   103439.881776   95013.263003   113669.156501   285826.074259   77457.644501   85763.463533   83566.824738   104049.286932   77013.973354   43097.672881   70712.502716   91713.413768   74847.717578   44911.272187   61344.010497   640068.412016   531930.686958   
0.800000   43681.786046   56169.852361   51822.244842   72440.923514   59271.338435   59421.583651   103529.551121   95361.480120   176620.003558   221465.154355   31987.028606   42438.348684   45162.728679   46164.075162   94730.856930   123231.296034   44702.093942   92907.183956   67921.685298   91613.970733   207842.972296   60746.959160   68414.469415   76405.797512   78067.152429   59792.083145   50341.023158   63090.045710   73257.391130   57050.836003   37842.549186   79082.045797   556646.161215   417753.752721   
0.900000   49190.295995   41545.499014   56592.938867   59284.881190   69861.896886   64622.330173   116045.770321   96067.444524   201187.024328   202499.735011   36171.531056   36436.657781   47918.447569   37829.743434   114877.118700   107540.550423   44078.960095   90752.837322   76058.508774   117172.853334   206565.215191   53935.625008   75543.430696   94884.904496   84081.518352   69535.313940   34296.118699   62398.951825   79810.639870   68101.302269   39283.449446   68525.914293   494405.608246   453226.967067   
