Model,Dataset,Rhythm,Optimizer,Start LR,Finish LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
Big,Mona Lisa,theta,Adamax,0.01,0.001,27,0.9068548387096774,0.7645161290322581,0.7774193548387097,131.82,1.65,0.8945027575164561
Big,Necker cube,theta,SGD,0.01,0.01,33,0.8903225806451613,0.8225806451612904,0.7741935483870968,139.11,1.74,0.8722202455079168
Big,Mona Lisa,theta,NAdam,0.01,0.001,27,0.8592741935483871,0.7870967741935484,0.7741935483870968,142.62,1.67,0.8896548656822629
Big,Necker cube,alpha,Adamax,0.01,0.01,29,0.9112903225806452,0.8096774193548387,0.7741935483870968,142.66,1.66,0.8635474114926169
Big,Mona Lisa,alpha,Adam,0.01,0.01,14,0.8383064516129032,0.7709677419354839,0.7741935483870968,428.15,3.53,0.8813823163138231
CNN,Necker cube,theta,Adamax,0.001,0.0001,27,0.8754032258064516,0.7548387096774194,0.7741935483870968,173.34,1.85,0.8011030065824586
Big,Mona Lisa,delta,NAdam,0.01,0.001,35,0.8762096774193548,0.8129032258064516,0.7741935483870968,180.6,1.59,0.8837173100871731
CNN,Mona Lisa,alpha,Adagrad,0.001,0.001,21,0.894758064516129,0.7774193548387097,0.7709677419354839,182.09,2.95,0.7957214018857856
Big,Mona Lisa,theta,RMSprop,0.01,0.01,25,0.8403225806451613,0.7677419354838709,0.7709677419354839,117.3,1.65,0.8800702721935598
CNN,Necker cube,alpha,Adamax,0.001,0.001,26,0.8524193548387097,0.7483870967741936,0.7709677419354839,163.27,1.78,0.7967888276107453
CNN,Mona Lisa,alpha,NAdam,0.001,0.001,13,0.825,0.7709677419354839,0.7677419354838709,115.55,2.92,0.7917630314890589
Big,Mona Lisa,delta,Adam,0.01,0.01,31,0.8540322580645161,0.8032258064516129,0.7677419354838709,153.88,1.62,0.8260540829033979
Small,Necker cube,delta,SGD,1e-05,1.0000000000000002e-06,78,0.925,0.8064516129032258,0.7645161290322581,296.08,1.59,0.861145703611457
CNN,Mona Lisa,delta,Adam,0.001,0.0001,22,0.8568548387096774,0.7709677419354839,0.7645161290322581,136.02,1.72,0.7899395125422523
Big,Mona Lisa,shap,Adam,0.01,0.01,26,0.85,0.7483870967741936,0.7645161290322581,255.57,4.23,0.8687733499377335
CNN,Necker cube,theta,Adagrad,0.001,0.001,27,0.894758064516129,0.7774193548387097,0.7645161290322581,175.32,1.84,0.7910069382672122
