0.000000   158615.346284   212660.860247   1102253.770493   135817.433250   198317.493960   213827.854062   190062.201844   191891.517452   817907.647079   591890.610300   275379.309134   149839.912092   108693.068157   909202.336944   337597.006318   317829.004285   192298.834871   296008.404985   348398.633511   292755.783932   452191.187890   323448.625027   214067.519500   371464.328436   136613.568411   169756.072151   116645.351365   115918.499505   183283.669443   290179.565743   275045.634636   152509.927955   5069686.442614   6000.179781   1018381.322595   0.000000   
0.200000   168292.529911   223758.028511   346239.998034   243876.980271   306019.049159   251395.390233   355961.211855   344837.749453   1317506.347484   776153.319379   199494.527402   212218.099272   160172.856570   727483.833187   327992.120350   363232.539327   195794.592859   217686.864237   274550.447599   374689.380377   800487.485416   277914.382415   331412.233842   414170.137485   229014.375569   291587.376485   213395.716969   220731.469241   263507.757425   195808.935790   212626.181099   229479.381472   8782569.665510   17870.735643   1602203.302389   0.000000   
0.400000   105013.851832   148201.164033   179702.923798   149174.785896   208327.899795   186074.871344   296406.396572   320632.925502   980152.342561   725823.260922   117220.970117   130442.458428   154241.954978   322817.194179   277023.184216   306256.227036   132651.191200   156961.998595   210410.618801   354406.958263   751255.010721   182456.117290   227322.892897   318066.170387   224496.677256   170916.167082   152918.565379   157277.688708   188487.441932   127170.413755   155323.219548   215473.956570   2775752.253024   28437.947466   1554487.295604   0.000000   
0.600000   53604.230535   82690.958839   111406.781926   98771.122421   168787.438132   175389.346815   363733.271635   378169.180035   1125396.175819   958995.460819   85387.432012   83907.786064   142237.669999   259996.129672   316080.779714   318815.156974   68987.661808   102664.576374   161035.820765   367331.406297   917969.521029   176747.403799   223998.021069   196487.570819   221224.831948   177423.486080   109067.611199   113582.518754   114479.424969   105374.929841   108646.087503   128862.793387   1763129.029793   25006.315806   2003461.480948   0.000000   
0.800000   45961.978733   57459.726745   90264.529552   69555.801442   93014.627810   110068.791913   196213.428628   241286.717104   678283.445582   565346.812087   48001.358731   57186.790591   73356.619408   162707.049101   226649.254414   173295.304492   51427.261397   67006.638592   85572.950794   248006.477136   530050.292203   118314.339236   149662.692885   143110.397402   119570.394715   117125.922444   69900.395415   72597.390512   75749.368347   55110.996490   60204.099373   84854.769075   1266344.441656   22721.546246   1178292.007959   0.000000   
1.000000   44953.445108   52986.831274   75596.641183   83022.666535   104901.497442   126698.451859   226891.085756   281091.080197   688889.539310   685501.435679   58016.465679   60436.897666   91851.960580   151412.592827   235906.586794   227052.960165   49388.316185   75847.559880   105430.911260   267414.240297   642289.176447   124167.153080   170002.032296   163545.970094   148851.439598   132863.898498   75418.698556   81224.684649   94957.345820   62437.879075   73417.709584   70547.985681   997386.166208   28763.092698   1499131.002315   0.000000   
1.200000   32713.288753   45757.688845   68447.821980   56948.044287   89592.574620   80084.931175   145579.634090   166384.834373   509535.289488   368939.612188   43949.193141   46072.910070   68972.740123   103941.733729   128507.798110   142226.378133   40050.721241   58607.466489   86739.831645   155712.914287   356782.389307   82059.755607   107162.251245   113873.924762   108374.761087   82246.716234   43842.835717   55783.483772   65607.832063   61630.875223   55446.040372   70597.141924   829062.591801   43464.127888   782021.799434   0.000000   
1.400000   29910.327578   41708.616520   61437.130357   53073.359479   83294.616179   90964.245894   146604.298606   172698.188871   425275.993009   402974.895110   45522.009166   49319.995664   64571.154629   103609.274183   142195.184503   137948.260587   35814.070184   60230.309013   77264.783580   168741.941165   391622.558965   78705.933099   109929.124198   126045.353500   103358.625562   85156.586357   51459.955509   67786.334711   72292.606219   56472.921721   56548.495304   65919.056288   703804.466758   45267.020303   847145.486137   0.000000   
1.600000   27888.099313   31933.508801   57838.157718   42782.842785   75885.733325   83802.207080   143661.387477   189439.952381   494615.829147   444569.449476   45144.938747   41005.085879   59443.338192   108207.588240   140483.082454   158345.932119   34573.331718   41664.847942   71816.999439   168315.320770   419290.720449   93362.390921   110975.572239   119613.978983   97182.124789   80687.346606   54852.256905   53910.365090   52970.408587   50921.905531   53980.959060   39690.516225   614145.261450   56727.257004   933267.307273   0.000000   
1.800000   30012.468062   42642.724714   57396.624017   58776.453478   55247.508061   68295.116330   102531.985074   127665.022511   387931.319415   289090.598989   41608.828823   46585.578081   45377.775945   82562.170796   100358.191765   101178.658129   36262.905744   54472.830971   53360.448732   124147.994107   274058.781870   63393.032339   83956.345800   94573.685499   66281.820142   57295.933431   55785.504499   60029.483554   63369.169385   44262.940115   41853.314478   53415.634966   542351.525563   58951.045584   617530.198390   0.000000   
2.000000   41004.691203   35503.943289   62681.602594   54965.084571   75275.960568   74699.518981   120266.729133   141808.460054   372569.833230   300708.181605   48643.024238   39289.871384   67119.889994   86517.668516   114711.573764   104088.831788   50238.536931   58386.975077   83203.726781   139005.651513   288437.509339   69210.129659   94255.674154   99223.419844   97936.674167   76071.237233   49270.357587   58212.641418   63182.607478   66604.073749   59375.182930   66090.806456   487980.338888   209404.073212   640571.207462   0.000000   
2.200000   38113.530624   23778.863124   40555.426430   37306.783658   44329.598785   52974.813913   82349.618773   93989.982658   325726.378859   214351.582103   31674.325317   26828.277754   43278.461224   65507.623345   88805.820636   62761.092776   42489.221733   39749.525776   52269.542676   105447.670567   214324.918863   41094.643792   67180.148466   76361.295813   61764.069393   55015.178402   28823.750878   39376.977270   44040.950389   35822.969341   36828.807587   60844.557354   442955.881046   168859.285976   471511.735421   0.000000   
2.400000   22663.621707   22718.678254   30340.321349   34027.928480   35588.535588   45383.382738   73228.877731   85528.236787   278517.087710   194408.915907   20997.417603   23186.528564   26807.551312   51951.931720   69660.285175   64944.772693   21529.345472   30907.411187   37233.384573   88222.926408   190158.858324   35899.480643   55769.075619   58184.481360   49102.342665   40715.993224   24235.739238   34133.974653   39495.960368   25825.879493   23921.032044   36537.152525   405560.541656   71220.875649   419347.691632   0.000000   
