Precision,Recall,F1-Score,Specificity,Time,ROC AUC,Most Efficient Class,signal_fiq,dataset,PreProcesstime,optimizers
0.77,0.74,0.76,0.7428571428571429,15694.608606100082,0.7464285714285714,left hemiparesis,delta,Mona Lisa,125.65608167648315,nadam
0.8,0.8,0.8,0.7976653696498055,15045.127834796906,0.7738326848249029,left hemiparesis,theta,Mona Lisa,124.18777275085449,nadam
0.72,0.81,0.76,0.8063063063063063,15534.801130771637,0.7632354576799021,left hemiparesis,alpha,Mona Lisa,126.17147588729858,nadam
0.86,0.88,0.87,0.8780487804878049,15790.753203630447,0.8613988194676467,left hemiparesis,beta,Mona Lisa,125.4537091255188,nadam
0.84,0.92,0.88,0.9191489361702128,14671.786158323288,0.872617946345976,left hemiparesis,gamma,Mona Lisa,122.15051460266113,nadam
0.79,0.7,0.75,0.7046413502109705,15798.23072552681,0.7558294470353097,right hemiparesis,delta,Necker cube,125.54985785484314,nadam
0.81,0.79,0.8,0.7862903225806451,15807.935711860657,0.7848502304147466,left hemiparesis,theta,Necker cube,125.25271034240723,nadam
0.75,0.83,0.79,0.8326180257510729,15421.968208312988,0.7740676335651917,left hemiparesis,alpha,Necker cube,124.71578764915466,nadam
0.83,0.92,0.87,0.9162995594713657,9284.892291545868,0.8657128049457669,left hemiparesis,beta,Necker cube,127.41120028495789,nadam
0.89,0.88,0.88,0.8755186721991701,9357.950413227081,0.8774914789567279,left hemiparesis,gamma,Necker cube,121.14658379554749,nadam
0.69,0.68,0.68,0.6833333333333333,15654.349528551102,0.6749999999999999,left hemiparesis,delta,Mona Lisa,126.25221991539001,adadelta
0.68,0.66,0.67,0.6623931623931624,15802.379253864288,0.6710234210234209,right hemiparesis,theta,Mona Lisa,125.85405921936035,adadelta
0.75,0.71,0.73,0.7053941908713693,15280.11229968071,0.7254649525785418,left hemiparesis,alpha,Mona Lisa,129.600421667099,adadelta
0.77,0.68,0.72,0.6790123456790124,15466.158966064453,0.731398064731398,right hemiparesis,beta,Mona Lisa,123.13334035873413,adadelta
0.81,0.79,0.8,0.7922077922077922,15533.415978193283,0.802086802086802,right hemiparesis,gamma,Mona Lisa,124.50169515609741,adadelta
0.63,0.66,0.65,0.6637931034482759,15631.811163902283,0.6387635045138375,left hemiparesis,delta,Necker cube,122.04628920555115,adadelta
