,Top Feature,Top Feature Value,Time for Top Feature,SHAP Time,Name
0,Feature 1051,-3.6311856926082804,4.204,1163.934246301651,nadam_beta_Necker cube
1,Feature 7992,8.3235813053904,31.968,1112.960798740387,nadam_alpha_Necker cube
2,Feature 1466,0.034067043510219365,5.864,1107.8472056388855,nadam_theta_Necker cube
3,Feature 14222,1.8498441937147123,56.888,1111.1334319114685,nadam_theta_Mona Lisa
4,Feature 1318,-23.64762614027572,5.272,1103.6987221240997,nadam_beta_Mona Lisa
5,Feature 1106,1.7623441139653209,4.424,1105.8585155010223,nadam_delta_Necker cube
6,Feature 6509,-0.723495703874838,26.036,1105.8096826076508,nadam_gamma_Necker cube
7,Feature 1593,-0.8924314486633911,6.372,1108.6729364395142,nadam_delta_Mona Lisa
